Объект;Должность;График работы;Оклад (тариф)
БЦ Москва;Менеджер;Основной;40 230
БЦ Москва;Уборщик производственных и служебных помещений;Основной  на 0,25 ст  5/2 по 2,0ч;29 000
БЦ Москва;Уборщик производственных и служебных помещений;2/2 по 11ч. №1;29 000
БЦ Москва;Подсобный рабочий;Основной;29 000
БЦ Москва;Подсобный рабочий;Основной;29 000
ЗСД;Уборщик производственных и служебных помещений;Основной;32 184
ЗСД;Уборщик производственных и служебных помещений;Основной;32 184
ЗСД;Уборщик производственных и служебных помещений;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
ЗСД;Подсобный рабочий;Основной;32 184
Легион;Менеджер;Основной;45 978
Легион;Подсобный рабочий;Основной;29 000
Легион;Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Менеджер;Основной;68 966
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Партизана Германа);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Менеджер;Основной;80 460
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
Лемана Про (Петергофское шоссе);Подсобный рабочий;Основной;29 000
