Объект;Должность;График работы;Оклад (тариф);Количество ставок;Тип оплаты;
БЦ Москва;Менеджер;5/2;40 230;1;оклад;
БЦ Москва;Уборщик производственных и служебных помещений;5/2;29 000;1/4;оклад;
БЦ Москва;Уборщик производственных и служебных помещений;2/2;29 000;1;оклад;
БЦ Москва;Подсобный рабочий;5/2;29 000;1;оклад;
БЦ Москва;Подсобный рабочий;5/2;29 000;1;оклад;
ЗСД;Уборщик производственных и служебных помещений;5/2;32 184;1;оклад;
ЗСД;Уборщик производственных и служебных помещений;5/2;32 184;1;оклад;
ЗСД;Уборщик производственных и служебных помещений;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
ЗСД;Подсобный рабочий;5/2;32 184;1;оклад;
Легион;Менеджер;5/2;45 978;1;оклад;
Легион;Подсобный рабочий;5/2;29 000;1;оклад;
Легион;Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Менеджер;5/2;68 966;1;оклад;
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Уборщик производственных и служебных помещений;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Партизана Германа);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Менеджер;5/2;80 460;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
Лемана Про (Петергофское шоссе);Подсобный рабочий;5/2;29 000;1;оклад;
